program_id,month,year,plan_value,actual_value,status
36,jun,2026,0,0,pending
36,jul,2026,0,1,pending
36,aug,2026,0,0,pending
36,sep,2026,0,0,pending
36,oct,2026,0,0,pending
36,nov,2026,0,0,pending
36,dec,2026,0,0,pending
37,jan,2026,0,0,pending
37,feb,2026,3,3,completed
37,mar,2026,0,3,pending
37,apr,2026,0,0,pending
37,may,2026,0,0,pending
37,jun,2026,0,0,pending
37,jul,2026,0,0,pending
37,aug,2026,0,0,pending
37,sep,2026,0,0,pending
37,oct,2026,0,0,pending
37,nov,2026,0,0,pending
37,dec,2026,0,0,pending
38,jan,2026,3,3,completed
38,feb,2026,3,3,completed
38,mar,2026,3,3,completed
38,apr,2026,3,3,completed
38,may,2026,3,3,completed
38,jun,2026,3,3,completed
38,jul,2026,3,3,completed
38,aug,2026,3,3,completed
38,sep,2026,3,3,completed
38,oct,2026,3,3,completed
38,nov,2026,3,3,completed
38,dec,2026,3,0,pending
39,jan,2026,0,0,pending
39,feb,2026,1,1,completed
39,mar,2026,0,0,pending
39,apr,2026,0,0,pending
39,may,2026,1,1,completed
39,jun,2026,0,0,pending
39,jul,2026,0,0,pending
39,aug,2026,1,1,completed
39,sep,2026,0,0,pending
39,oct,2026,0,0,pending
39,nov,2026,1,1,completed
39,dec,2026,0,0,pending
40,jan,2026,1,2,completed
40,feb,2026,1,3,completed
40,mar,2026,1,3,completed
40,apr,2026,1,3,completed
40,may,2026,1,1,completed
40,jun,2026,1,1,completed
40,jul,2026,1,1,completed
40,aug,2026,1,2,completed
40,sep,2026,1,1,completed
40,oct,2026,1,1,completed
40,nov,2026,1,1,completed
40,dec,2026,1,0,pending
41,jan,2026,1,1,completed
41,feb,2026,0,0,pending
41,mar,2026,0,0,pending
41,apr,2026,0,0,pending
41,may,2026,0,0,pending
41,jun,2026,0,0,pending
41,jul,2026,1,1,completed
41,aug,2026,0,0,pending
41,sep,2026,0,0,pending
41,oct,2026,0,0,pending
41,nov,2026,0,0,pending
41,dec,2026,0,0,pending
42,jan,2026,3,3,completed
42,feb,2026,3,3,completed
42,mar,2026,3,3,completed
42,apr,2026,3,3,completed
42,may,2026,3,3,completed
42,jun,2026,3,3,completed
42,jul,2026,3,3,completed
42,aug,2026,3,3,completed
42,sep,2026,3,3,completed
42,oct,2026,3,3,completed
42,nov,2026,3,3,completed
42,dec,2026,3,0,pending
43,jan,2026,0,0,pending
43,feb,2026,0,0,pending
43,mar,2026,0,0,pending
43,apr,2026,0,0,pending
43,may,2026,0,0,pending
43,jun,2026,1,1,completed
43,jul,2026,0,0,pending
43,aug,2026,0,0,pending
43,sep,2026,0,0,pending
43,oct,2026,0,0,pending
43,nov,2026,0,0,pending
43,dec,2026,0,0,pending
44,jan,2026,0,0,pending
44,feb,2026,0,0,pending
44,mar,2026,0,0,pending
44,apr,2026,0,0,pending
44,may,2026,0,0,pending
44,jun,2026,0,0,pending
44,jul,2026,3,3,completed
44,aug,2026,0,0,pending
44,sep,2026,0,0,pending
44,oct,2026,0,0,pending
44,nov,2026,0,0,pending
44,dec,2026,0,0,pending
45,jan,2026,0,0,pending
45,feb,2026,0,0,pending
45,mar,2026,0,0,pending
45,apr,2026,0,0,pending
45,may,2026,0,0,pending
45,jun,2026,0,0,pending
45,jul,2026,1,1,completed
45,aug,2026,1,1,completed
45,sep,2026,0,0,pending
45,oct,2026,0,0,pending
45,nov,2026,0,0,pending
45,dec,2026,1,0,pending
46,jan,2026,0,0,pending
46,feb,2026,0,0,pending
46,mar,2026,0,0,pending
46,apr,2026,0,0,pending
46,may,2026,0,0,pending
46,jun,2026,0,0,pending
46,jul,2026,1,1,completed
46,aug,2026,1,1,completed
46,sep,2026,0,0,pending
46,oct,2026,1,1,completed
46,nov,2026,0,0,pending
46,dec,2026,0,0,pending
47,jan,2026,0,0,pending
47,feb,2026,0,0,pending
47,mar,2026,1,1,completed
47,apr,2026,0,0,pending
47,may,2026,0,0,pending
47,jun,2026,0,0,pending
47,jul,2026,1,1,completed
47,aug,2026,0,0,pending
47,sep,2026,0,0,pending
47,oct,2026,0,0,pending
47,nov,2026,1,1,completed
47,dec,2026,0,0,pending
48,jan,2026,3,3,completed
48,feb,2026,3,3,completed
48,mar,2026,3,3,completed
48,apr,2026,3,3,completed
48,may,2026,3,3,completed
48,jun,2026,3,3,completed
48,jul,2026,3,3,completed
48,aug,2026,3,3,completed
48,sep,2026,3,3,completed
48,oct,2026,3,3,completed
48,nov,2026,3,3,completed
48,dec,2026,3,0,pending
49,jan,2026,0,0,pending
49,feb,2026,0,0,pending
49,mar,2026,0,0,pending
49,apr,2026,0,0,pending
49,may,2026,0,0,pending
49,jun,2026,3,3,completed
49,jul,2026,0,0,pending
49,aug,2026,0,0,pending
49,sep,2026,0,0,pending
49,oct,2026,0,0,pending
49,nov,2026,0,0,pending
49,dec,2026,3,0,pending
50,jan,2026,0,0,pending
50,feb,2026,0,0,pending
50,mar,2026,0,0,pending
50,apr,2026,0,0,pending
50,may,2026,0,0,pending
50,jun,2026,1,1,completed
50,jul,2026,0,0,pending
50,aug,2026,0,0,pending
50,sep,2026,0,0,pending
50,oct,2026,0,0,pending
50,nov,2026,1,1,completed
50,dec,2026,0,0,pending
51,jan,2026,0,0,pending
51,feb,2026,0,0,pending
51,mar,2026,0,0,pending
51,apr,2026,0,0,pending
51,may,2026,0,0,pending
51,jun,2026,3,3,completed
51,jul,2026,0,0,pending
51,aug,2026,0,0,pending
51,sep,2026,0,0,pending
51,oct,2026,0,0,pending
51,nov,2026,0,0,pending
51,dec,2026,0,0,pending
52,jan,2026,0,0,pending
52,feb,2026,0,0,pending
52,mar,2026,0,0,pending
52,apr,2026,0,0,pending
52,may,2026,0,0,pending
52,jun,2026,0,0,pending
52,jul,2026,0,0,pending
52,aug,2026,1,1,completed
52,sep,2026,0,0,pending
52,oct,2026,0,0,pending
52,nov,2026,0,0,pending
52,dec,2026,0,0,pending
53,jan,2026,0,0,pending
53,feb,2026,1,1,completed
53,mar,2026,1,1,completed
53,apr,2026,0,0,pending
53,may,2026,0,0,pending
53,jun,2026,0,0,pending
53,jul,2026,0,0,pending
53,aug,2026,0,0,pending
53,sep,2026,0,0,pending
53,oct,2026,0,0,pending
53,nov,2026,0,0,pending
53,dec,2026,0,0,pending
54,jan,2026,0,0,pending
54,feb,2026,0,0,pending
54,mar,2026,0,0,pending
54,apr,2026,1,1,completed
54,may,2026,0,0,pending
54,jun,2026,0,0,pending
54,jul,2026,0,0,pending
54,aug,2026,0,0,pending
54,sep,2026,0,0,pending
54,oct,2026,0,0,pending
54,nov,2026,0,0,pending
54,dec,2026,0,0,pending
55,jan,2026,0,0,pending
55,feb,2026,1,1,completed
55,mar,2026,0,0,pending
55,apr,2026,0,0,pending
55,may,2026,0,0,pending
55,jun,2026,0,0,pending
55,jul,2026,0,0,pending
55,aug,2026,0,0,pending
55,sep,2026,0,0,pending
55,oct,2026,0,0,pending
55,nov,2026,0,0,pending
